approach,stage,split,threshold,auc,pr_auc,brier,ece,log_loss,precision,recall,f1,specificity,accuracy,tp,fp,fn,tn,net_aed
solution_1_two_stage,booking,train,0.23000000000000004,0.7070468816754362,0.5008393021157016,0.17710233948285228,0.019280914332371696,0.5330402096605814,0.3742575508656641,0.7614089214551999,0.5018428299089176,0.5137125880821893,0.5821770568692594,11846,19806,3712,20923,1497360.0
solution_1_two_stage,booking,test,0.23000000000000004,0.6695309120569692,0.4552211055580703,0.18381403538380542,0.00988398793930363,0.5506434310764117,0.3535693387946167,0.7245203836930456,0.4752261108926465,0.4935823974329024,0.5574531586801525,2417,4419,919,4307,286620.0
solution_1_two_stage,pre_appointment,train,0.29000000000000004,0.7598527300799088,0.5685226354645847,0.16412774976089287,0.015873490457240486,0.49896588966891414,0.4695872556118755,0.6669237691219951,0.5511233866255909,0.7122443467799182,0.6997175191429638,10376,11720,5182,29009,1592960.0
solution_1_two_stage,pre_appointment,test,0.29000000000000004,0.7333267582587608,0.5419880218947388,0.16984072756010732,0.012651086806739854,0.5151690626190935,0.44967880085653106,0.6294964028776978,0.5246065450911817,0.705477882191072,0.6844636047090035,2100,2570,1236,6156,312500.0
solution_2_single_missingness,booking,train,0.23000000000000004,0.7087245511044566,0.5024893232809942,0.1767458518702182,0.02049597430769206,0.532264202941478,0.37500786509784184,0.7661653168787762,0.5035484961135519,0.5122394362738955,0.5824257821521843,11920,19866,3638,20863,1509900.0
solution_2_single_missingness,booking,test,0.23000000000000004,0.6701616588920017,0.45654681566457134,0.18364018887347652,0.007496101362048367,0.5502379525429089,0.35521122642888464,0.7284172661870504,0.4775474108283384,0.4944991977996224,0.559194163488642,2430,4411,906,4315,289750.0
solution_2_single_missingness,pre_appointment,train,0.28,0.7630870185571645,0.5737801040635919,0.16330569721256097,0.018893130577666433,0.496922184338122,0.46202072759841345,0.6962977246432703,0.555467247788745,0.6902943848363405,0.691953737097376,10833,12614,4725,28115,1644230.0
solution_2_single_missingness,pre_appointment,test,0.28,0.7327142869706068,0.541919466038099,0.16991100505504803,0.013778700761344903,0.5155551851044126,0.44026053327905557,0.6483812949640287,0.5244272032973694,0.6848498739398711,0.6747637207759907,2163,2750,1173,5976,316730.0
