approach,mean_auc,mean_pr_auc,mean_brier,mean_ece,mean_log_loss,mean_f1,mean_precision,mean_recall,mean_net_aed,composite_score
solution_2_single_missingness,0.7014379729313043,0.4992331408513352,0.17677559696426226,0.010637401061696635,0.5328965688236607,0.5009873070628539,0.3977358798539701,0.6883992805755396,303240.0,6.999763837929951
solution_1_two_stage,0.701428835157865,0.4986045637264046,0.17682738147195637,0.011267537373021743,0.5329062468477526,0.4999163279919141,0.40162406982557386,0.6770083932853717,299560.0,0.0
