iter	Logloss
116	0.5996481922
117	0.5995549978
118	0.5995301274
119	0.5994209249
120	0.5992488207
121	0.5990460946
122	0.5988275662
123	0.5986299631
124	0.5985540681
125	0.5983698387
126	0.5982484033
127	0.5982275284
128	0.5981230216
129	0.5981049615
130	0.5979084682
131	0.5977930059
132	0.5976242363
133	0.5974911351
134	0.5973594089
135	0.5972607098
136	0.5970897696
137	0.5969922869
138	0.5968302961
139	0.5966568972
140	0.5965513978
141	0.5964657583
142	0.5963277695
143	0.5962085434
144	0.5962009096
145	0.5961187586
146	0.5960255694
147	0.5958981427
148	0.5958046922
149	0.5956904189
150	0.5956769184
151	0.5955438823
152	0.5954563096
153	0.5953876899
154	0.5952059244
155	0.5951056249
156	0.5949597654
157	0.594803259
158	0.5946907624
159	0.5946722981
160	0.594669563
161	0.594588343
162	0.5944497528
163	0.5944424737
164	0.5943730253
165	0.5942226772
166	0.5940751168
167	0.5939268084
168	0.593752115
169	0.5936801004
170	0.5935221074
171	0.5933755008
172	0.5931931445
173	0.5930119723
174	0.5928621116
175	0.5927250184
176	0.5927070142
177	0.5926173981
178	0.5924238314
179	0.5923358292
180	0.592175905
181	0.5921071485
182	0.5919182627
183	0.5918615875
184	0.5918517352
185	0.5918469495
186	0.5917704926
187	0.5916466233
188	0.5915807067
189	0.5914485943
190	0.5912753642
191	0.5911920078
192	0.5910737934
193	0.5909549209
194	0.5908309369
195	0.5907391495
196	0.5905904559
197	0.5905835247
198	0.5904857133
199	0.5904811365
200	0.5903727335
201	0.5902921035
202	0.5901839471
203	0.5901035661
204	0.5899243902
205	0.5899200911
206	0.5898782143
207	0.5897796959
208	0.5896434979
209	0.5895131787
210	0.5894561794
211	0.5892896733
212	0.5892068676
213	0.5891231988
214	0.5890889669
215	0.5890562752
216	0.5890417656
217	0.5889817813
218	0.5889101451
219	0.5888040904
220	0.5886627901
221	0.5886279187
222	0.5885765853
223	0.5884742503
224	0.588318312
225	0.5882158031
226	0.5882130339
227	0.5881197583
228	0.5879381861
229	0.587935966
230	0.5878707591
231	0.5876984489
232	0.5875626857
233	0.5875056109
234	0.5874101277
235	0.5874098456
236	0.5873744827
237	0.5873199246
238	0.5872530567
239	0.5872362773
240	0.5871789278
241	0.587041434
242	0.586979586
243	0.5869355808
244	0.5868717432
245	0.5867627811
246	0.5866642798
247	0.5866615055
248	0.5865202683
249	0.5864408679
250	0.5863184725
251	0.5863137549
252	0.5861711686
253	0.586037681
254	0.5858604435
255	0.5858085024
256	0.5856969695
257	0.5855717409
258	0.5854640398
259	0.5853095553
260	0.5852225644
261	0.5850926411
262	0.5849329344
263	0.5848771057
264	0.5847339876
265	0.5846170306
266	0.5845125973
267	0.5844358149
268	0.5843626263
269	0.5842570007
270	0.5841517311
271	0.583977086
272	0.583831659
273	0.5837439121
274	0.5836187237
275	0.5835001944
276	0.583342234
277	0.5832533259
278	0.5832187444
279	0.5831550578
280	0.5831343581
281	0.5830027563
282	0.5829195826
283	0.5828284324
284	0.5827028923
285	0.582556531
286	0.5824897904
287	0.5823638935
288	0.5821897701
289	0.5821426567
290	0.5820080201
291	0.5818760014
292	0.5817803595
293	0.5816740718
294	0.5815282503
295	0.5814076287
296	0.5813254396
297	0.5812509147
298	0.5812230901
299	0.5811493971
300	0.5810776985
301	0.5809760936
302	0.5808645265
303	0.580860771
304	0.5807593341
305	0.5806897722
306	0.580578538
307	0.5805754221
308	0.5805169151
309	0.5804107551
310	0.5802851688
311	0.5801592373
312	0.580115289
313	0.5800236397
314	0.5799962711
315	0.5798887247
316	0.5798014725
317	0.579743437
318	0.5796505871
319	0.579577751
320	0.57955384
321	0.5794864672
322	0.5794731025
323	0.5793871753
324	0.5793573838
325	0.5792072915
326	0.5791413132
327	0.5790630146
328	0.5789511801
329	0.5788383972
330	0.5788138838
331	0.5786883245
332	0.5786421855
333	0.5785379619
334	0.578459396
335	0.57844123
336	0.5783495072
337	0.578293035
338	0.578248707
339	0.5780963507
340	0.578017834
341	0.5779206224
342	0.57785466
343	0.5777515794
344	0.5775999768
345	0.577510349
346	0.5773999439
347	0.5773348746
348	0.5771915332
